combination_id,n_ingredients,n_active_slots,slot_main_protein,slot_egg,slot_calcium,slot_mineral_shellfish,slot_organ_liver,slot_organ_secreting,slot_vegetable,slot_omega3_lc,slot_omega6_la,slot_carbohydrate,slot_iodine,slot_shellfish_protein,diversity_score,risk_score,completeness_score,active_slots
combo_0103,12,12,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.8,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine, shellfish_protein"
combo_0105,12,12,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.8,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine, shellfish_protein"
combo_0107,12,12,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.8,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine, shellfish_protein"
combo_0001,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0003,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0005,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0010,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0012,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0014,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0062,11,11,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Blueberries,Cod Liver,,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate, shellfish_protein"
